region	EU28	EU28	EU28	EU28	EU28	EU28	EU28	EU28	EU28	EU28	EU28	EU28	EU28	EU28	EU28	EU28	EU28	EU28	EU28	EU28	EU28	EU28	EU28	EU28	EU28	EU28	EU28	EU28	EU28	EU28	EU28	EU28	EU28	EU28	EU28	EU28	EU28	EU28	RoW	RoW	RoW	RoW	RoW	RoW	RoW	RoW	RoW	RoW	RoW	RoW	RoW	RoW	RoW	RoW	RoW	RoW	RoW	RoW	RoW	RoW	RoW	RoW	RoW	RoW	RoW	RoW	RoW	RoW	RoW	RoW	RoW	RoW	RoW	RoW	RoW	RoW
sector	Agriculture-Forestry-Fishing	Energy	Natural gas and services related to natural gas extraction, excluding surveying	Industry	Motor Gasoline	Gas/Diesel Oil	Refinery Feedstocks	Lubricants	P- and other fertiliser	Chemicals nec	Biogasoline	Biodiesels	Cement, lime and plaster	Basic iron and steel and of ferro-alloys and first products thereof	Aluminium and aluminium products	Copper products	Electricity by coal	Electricity by gas	Electricity by nuclear	Electricity by hydro	Electricity by wind	Electricity by petroleum and other oil derivatives	Electricity by biomass and waste	Electricity by solar photovoltaic	Electricity by solar thermal	Electricity by tide, wave, ocean	Electricity by Geothermal	Electricity nec	Steam and hot water supply services	Collected and purified water, distribution services of water (41)	Services	Railway transportation services	Other land transportation services	Waste management	Intert/metal waste for treatment: incineration	Sewage sludge for treatment: biogasification and land application	Other waste for treatment: waste water treatment	Inert/metal/hazardous waste for treatment: landfill	Agriculture-Forestry-Fishing	Energy	Natural gas and services related to natural gas extraction, excluding surveying	Industry	Motor Gasoline	Gas/Diesel Oil	Refinery Feedstocks	Lubricants	P- and other fertiliser	Chemicals nec	Biogasoline	Biodiesels	Cement, lime and plaster	Basic iron and steel and of ferro-alloys and first products thereof	Aluminium and aluminium products	Copper products	Electricity by coal	Electricity by gas	Electricity by nuclear	Electricity by hydro	Electricity by wind	Electricity by petroleum and other oil derivatives	Electricity by biomass and waste	Electricity by solar photovoltaic	Electricity by solar thermal	Electricity by tide, wave, ocean	Electricity by Geothermal	Electricity nec	Steam and hot water supply services	Collected and purified water, distribution services of water (41)	Services	Railway transportation services	Other land transportation services	Waste management	Intert/metal waste for treatment: incineration	Sewage sludge for treatment: biogasification and land application	Other waste for treatment: waste water treatment	Inert/metal/hazardous waste for treatment: landfill
stressor																																																																												
Taxes less subsidies on products purchased: Total	0.0291825302005	0.0357068499817	0.00852261102705	0.0208284681947	0.0517912367534	0.0542188461694	0.06226795623	0.0633004180251	0.0162153733914	0.0235948793322	0.0299475646948	0.0290832495447	0.0220115482145	0.0219859287264	0.0187801277494	0.0132015260089	0.0303655090929	0.0274134397963	0.0205289264812	0.0173217172617	0.0177956556859	0.133739095753	0.0333207820099	0.0132441395763	0.0700347990097	0.00267178952765	0.01026201141	0.0231354672973	0.0304396897154	0.0214880815187	0.0201919615549	0.0230391360724	0.047542004435	0.0226579325175	0.0193897756281	0.0173427693723	0.0239312485446	0.0196737142435	0.0363526747147	0.0543425704366	0.0313001425265	0.0473020386822	0.0771968555156	0.0987444765375	0.0910516906507	0.102461280799	0.0447943916065	0.0655312970803	0.0353937655305	0.0394262038347	0.0425044847421	0.0647177543253	0.0638033497702	0.0372329867926	0.0279853307293	0.0498534641418	0.0087330614287	0.0216747183534	0.0162411106188	0.135292669272	0.0205057032952	0.0438395645299	0.00281775261315	0.0648857501137	0.0192389284696	0.0225357036705	0.0333874603406	0.01796952989	0.0230944724727	0.0446862294664	0.0590714599886	0.0183338239469	0.0201893751499	0.0115423688659	0.0197972597962	0.0159144561718
Other net taxes on production	-0.00542913786077	0.00625081120257	0.00867587669084	0.0053337681894	0.00108831114183	0.00133715682387	0.00113923781302	0.00123962663463	0.00684330303788	0.00347861610353	0.00288572286674	0.00291135837482	0.0067155184822	0.00299042912692	0.00146949433938	0.00241069457843	0.00462908835175	0.0115612319583	0.0052103918448	0.0108534371669	0.00190797525865	0.00417892008376	0.0112924905587	0.000302519250442	0.00267763783923	0.000186912806189	0.00595896418497	0.00556990754221	0.0148944863939	0.0367742698845	0.0155655453055	0.00495863513493	0.0140062806013	0.00637529392297	0.00643337580507	0.00594917005185	0.00682939176013	0.00683284391453	0.00271472900817	0.0565657678993	0.0796788597337	0.0072013765582	0.0493042244101	0.052922693655	0.018221969928	0.0798405483272	-0.00232237451447	0.00374658949042	0.00320450359392	0.00598213342605	0.00577210970081	0.025300738998	0.00883346768347	0.0104086035355	0.0214748841437	0.047719996611	0.0442241933897	0.0193861675778	0.0381627380225	0.0375833674601	0.0565755381723	0.021635498317	0.111482663255	0.0122197087971	0.0209682430965	0.0158414360878	0.0192950888819	0.0350957873756	0.0270098660828	0.0146730518533	0.0236015389182	0.0147370507223	0.0187895685346	0.0179120898218	0.0101988836842	0.0113520759869
Compensation of employees; wages, salaries, & employers' social contributions: Low-skilled	0.0101315826454	0.00364572133233	0.00618033154001	0.0109528243876	0.00221849447158	0.00204549008919	0.00251026989991	0.00167984837117	0.00952102614217	0.00414461186224	0.00378061184247	0.00339092547532	0.00964658928831	0.00570117220035	0.00563282874138	0.00438212364198	0.00798899244861	0.00322183991574	0.0036010624907	0.00259823124907	0.00127979848917	0.00367239183112	0.00465834889172	0.0026579509103	0.000592987122176	7.50571456412e-05	0.000649492972681	0.0015843318572	0.00472249769867	0.00745754448455	0.0231621888364	0.0106429787223	0.025356569794	0.0101004418963	0.0101407398824	0.0093509600147	0.0108222760626	0.0130911078547	0.0296542554879	0.0106373369742	0.0118226009334	0.0216240761373	0.00365439573953	0.00476251030288	0.0031967501066	0.00427738196963	0.0111657182737	0.00509234769964	0.00587143398364	0.00898064913931	0.00822399044999	0.00870425917856	0.00512032549772	0.00490993155094	0.0138550129501	0.00916042517232	0.00878166779366	0.00542600156569	0.012485992951	0.0067242154958	0.0112345407527	0.0113049288567	0.00556876002219	0.0196468105631	0.00412543283679	0.0078783362654	0.00807327574518	0.00991925381297	0.020039928853	0.0212463755114	0.0315619508385	0.0204583936546	0.0153067500436	0.00815235446557	0.0328914508414	0.0158906196089
Compensation of employees; wages, salaries, & employers' social contributions: Medium-skilled	0.0838683117931	0.0421295556911	0.0607116908994	0.130440863849	0.0212198898689	0.0187025924485	0.0205253664156	0.0160390908734	0.0958342864215	0.0420596308946	0.0417954866731	0.0402582337889	0.101457520292	0.0728597430486	0.061325322806	0.0463122137214	0.0513507430846	0.0447947284559	0.0387596087401	0.0201222147088	0.01461870837	0.0159580474349	0.0447175028136	0.0243419212653	0.00692035691553	0.000888171340259	0.00603443977916	0.0184859644246	0.0276815879222	0.0731518252849	0.123619550386	0.102313343954	0.234147397855	0.0940300591993	0.0884423540773	0.0897583036875	0.0935202709439	0.101481921283	0.171215998925	0.0632954118921	0.090110436709	0.102254127504	0.029533007218	0.036285015114	0.0259397740174	0.0318327756452	0.0750335564842	0.0393197994046	0.0479605993561	0.0873296990765	0.0647100827061	0.0640290515604	0.0390042697709	0.0384492051503	0.120152514262	0.0842194447787	0.116061825911	0.0561776253231	0.0781233832707	0.0425807850652	0.0966523682852	0.0694977231859	0.145439834322	0.0737748935961	0.0432096608019	0.064381646439	0.0581799082953	0.084484877876	0.153689922566	0.150816491852	0.252794005602	0.166865316611	0.142429977626	0.157993636168	0.185517787552	0.170193421805
Compensation of employees; wages, salaries, & employers' social contributions: High-skilled	0.0524194569481	0.0460012334549	0.0423935997599	0.0808951878638	0.0151961391264	0.0134157769569	0.0139170010563	0.0119283499654	0.0608924079291	0.0329045410213	0.0315341235466	0.0317495290675	0.0742976145173	0.0526985545761	0.0442517666618	0.0339392679387	0.0527017739587	0.0576896908749	0.0640627850637	0.0271853955124	0.0176459210804	0.0166972141153	0.0613806842766	0.0328284953672	0.00400410710087	0.00167307955151	0.00684580388925	0.0249621285768	0.0289799103403	0.0972602451992	0.209481625996	0.066866342076	0.137947321531	0.130674711486	0.124888146655	0.132879871784	0.11421272674	0.145954705926	0.0210228191747	0.0295963217227	0.0409743989934	0.0361540274053	0.00880872931364	0.0104296139917	0.0106823148909	0.00817353223693	0.0278418118005	0.0175931509777	0.0248185284395	0.0268855126247	0.0353721352819	0.0166848500878	0.0147704281161	0.0149328736832	0.0777488740195	0.065264904179	0.0957330002491	0.0411547885387	0.0453097635109	0.0315634019394	0.0673129104596	0.0383641460074	0.106015554888	0.0421756213233	0.0319404338845	0.0377963462902	0.0444221810852	0.0728417593868	0.157489760162	0.045945985674	0.0673661677228	0.144129621107	0.112067756874	0.100617368274	0.139808533757	0.153196209823
Operating surplus: Consumption of fixed capital	0.0606622451439	0.0790317593384	0.108994284883	0.0453676882913	0.0123809476738	0.0112721804106	0.0134638792305	0.00978270739561	0.0414593186823	0.0284927593513	0.0257134037847	0.0270943665073	0.0422347156398	0.0505799812508	0.0375579330515	0.0303077978256	0.0709950051902	0.0602797467735	0.302535681909	0.447149743478	0.41575900134	0.0370668255013	0.0815818248378	0.34580675432	0.196252257132	0.589295993658	0.457115740559	0.135658198367	0.0387202988879	0.21743758661	0.0931015948516	0.177610597601	0.069755838654	0.152046605819	0.180399898317	0.178320229856	0.146123623053	0.121635120451	0.0361560303408	0.115333201327	0.129430820905	0.0451820500769	0.0432432286966	0.0452718854898	0.0331158791155	0.0285615940759	0.0365596532408	0.0261430078361	0.0109577457156	0.0253295284427	0.0320986823677	0.0257955023216	0.0565089208477	0.0275776109544	0.180755769866	0.106300032273	0.302970048881	0.437944671559	0.410851388396	0.0584105776119	0.171847657006	0.367200193685	0.242728348798	0.14392395831	0.426298419103	0.170337550611	0.0746575066772	0.222285569463	0.109059886587	0.176658285139	0.0684965093111	0.146324699775	0.0922600610759	0.109715999588	0.117118327489	0.16265474121
Operating surplus: Rents on land	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Operating surplus: Royalties on resources	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
